MONGODB | Topology type 'unknown' initializing.
MONGODB | Server localhost:27017 initializing.
MONGODB | Topology type 'unknown' changed to type 'single'.
MONGODB | Server description for localhost:27017 changed from 'unknown' to 'standalone'.
MONGODB | There was a change in the members of the 'single' topology.
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"races", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000030'), "next_bib"=>20, "n"=>"Bolivar Sprint", "loc"=>{"city"=>"Bolivar", "state"=>"NY", "loc"=>{"type"=>"Point", "coordinates"=>[-78.144834, 42.070442]}}, "date"=>Tue, 15 M...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000036'), "next_bib"=>20, "n"=>"Jamaica Iron", "loc"=>{"city"=>"Jamaica", "state"=>"VT", "loc"=>{"type"=>"Point", "coordinates"=>[-72.794409, 43.104235]}}, "date"=>Wed, 21 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.013013s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300003c'), "next_bib"=>20, "n"=>"Jamaica Iron", "loc"=>{"city"=>"Jamaica", "state"=>"VT", "loc"=>{"type"=>"Point", "coordinates"=>[-72.794409, 43.104235]}}, "date"=>Wed, 20 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000042'), "next_bib"=>20, "n"=>"Jamaica Iron", "loc"=>{"city"=>"Jamaica", "state"=>"VT", "loc"=>{"type"=>"Point", "coordinates"=>[-72.794409, 43.104235]}}, "date"=>Fri, 07 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000048'), "next_bib"=>20, "n"=>"Leeds Olympic", "loc"=>{"city"=>"Leeds", "state"=>"ME", "loc"=>{"type"=>"Point", "coordinates"=>[-70.125277, 44.28343]}}, "date"=>Wed, 26 Aug 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001005s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300004e'), "next_bib"=>20, "n"=>"Leeds Olympic", "loc"=>{"city"=>"Leeds", "state"=>"ME", "loc"=>{"type"=>"Point", "coordinates"=>[-70.125277, 44.28343]}}, "date"=>Tue, 24 Aug 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000054'), "next_bib"=>20, "n"=>"Leeds Olympic", "loc"=>{"city"=>"Leeds", "state"=>"ME", "loc"=>{"type"=>"Point", "coordinates"=>[-70.125277, 44.28343]}}, "date"=>Fri, 26 Aug 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.000996s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300005a'), "next_bib"=>20, "n"=>"Union Iron", "loc"=>{"city"=>"Union", "state"=>"NH", "loc"=>{"type"=>"Point", "coordinates"=>[-71.020857, 43.4382]}}, "date"=>Mon, 27 Apr 2009,...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000060'), "next_bib"=>20, "n"=>"Union Iron", "loc"=>{"city"=>"Union", "state"=>"NH", "loc"=>{"type"=>"Point", "coordinates"=>[-71.020857, 43.4382]}}, "date"=>Sat, 17 Apr 2010,...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000066'), "next_bib"=>20, "n"=>"Union Iron", "loc"=>{"city"=>"Union", "state"=>"NH", "loc"=>{"type"=>"Point", "coordinates"=>[-71.020857, 43.4382]}}, "date"=>Mon, 18 Apr 2011,...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300006c'), "next_bib"=>20, "n"=>"Bradford Olympic", "loc"=>{"city"=>"Bradford", "state"=>"RI", "loc"=>{"type"=>"Point", "coordinates"=>[-71.746453, 41.411448]}}, "date"=>Mon, 0...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000072'), "next_bib"=>20, "n"=>"Bradford Olympic", "loc"=>{"city"=>"Bradford", "state"=>"RI", "loc"=>{"type"=>"Point", "coordinates"=>[-71.746453, 41.411448]}}, "date"=>Mon, 0...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002004s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000078'), "next_bib"=>20, "n"=>"Bradford Olympic", "loc"=>{"city"=>"Bradford", "state"=>"RI", "loc"=>{"type"=>"Point", "coordinates"=>[-71.746453, 41.411448]}}, "date"=>Mon, 1...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300007e'), "next_bib"=>20, "n"=>"Wrentham Sprint", "loc"=>{"city"=>"Wrentham", "state"=>"MA", "loc"=>{"type"=>"Point", "coordinates"=>[-71.339568, 42.061746]}}, "date"=>Wed, 08...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000084'), "next_bib"=>20, "n"=>"Wrentham Sprint", "loc"=>{"city"=>"Wrentham", "state"=>"MA", "loc"=>{"type"=>"Point", "coordinates"=>[-71.339568, 42.061746]}}, "date"=>Thu, 15...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300008a'), "next_bib"=>20, "n"=>"Wrentham Sprint", "loc"=>{"city"=>"Wrentham", "state"=>"MA", "loc"=>{"type"=>"Point", "coordinates"=>[-71.339568, 42.061746]}}, "date"=>Tue, 12...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000090'), "next_bib"=>20, "n"=>"Ringold Iron", "loc"=>{"city"=>"Ringold", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.070387, 34.179892]}}, "date"=>Sun, 25 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000096'), "next_bib"=>20, "n"=>"Ringold Iron", "loc"=>{"city"=>"Ringold", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.070387, 34.179892]}}, "date"=>Wed, 13 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300009c'), "next_bib"=>20, "n"=>"Ringold Iron", "loc"=>{"city"=>"Ringold", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.070387, 34.179892]}}, "date"=>Thu, 27 Jan...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002004s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000a2'), "next_bib"=>20, "n"=>"Locust Grove Iron", "loc"=>{"city"=>"Locust Grove", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.168854, 36.181902]}}, "date"=>S...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001997s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000a8'), "next_bib"=>20, "n"=>"Locust Grove Iron", "loc"=>{"city"=>"Locust Grove", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.168854, 36.181902]}}, "date"=>M...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002998s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000ae'), "next_bib"=>20, "n"=>"Locust Grove Iron", "loc"=>{"city"=>"Locust Grove", "state"=>"OK", "loc"=>{"type"=>"Point", "coordinates"=>[-95.168854, 36.181902]}}, "date"=>S...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000b4'), "next_bib"=>20, "n"=>"Raceland Sprint", "loc"=>{"city"=>"Raceland", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-90.599908, 29.717835]}}, "date"=>Mon, 24...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001999s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000ba'), "next_bib"=>20, "n"=>"Raceland Sprint", "loc"=>{"city"=>"Raceland", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-90.599908, 29.717835]}}, "date"=>Tue, 24...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001047s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000c0'), "next_bib"=>20, "n"=>"Raceland Sprint", "loc"=>{"city"=>"Raceland", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-90.599908, 29.717835]}}, "date"=>Tue, 23...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001998s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000c6'), "next_bib"=>20, "n"=>"Blanks Olympic", "loc"=>{"city"=>"Blanks", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-91.615845, 30.579813]}}, "date"=>Fri, 22 Ma...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002999s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000cc'), "next_bib"=>20, "n"=>"Blanks Olympic", "loc"=>{"city"=>"Blanks", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-91.615845, 30.579813]}}, "date"=>Tue, 11 Ma...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001998s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000d2'), "next_bib"=>20, "n"=>"Blanks Olympic", "loc"=>{"city"=>"Blanks", "state"=>"LA", "loc"=>{"type"=>"Point", "coordinates"=>[-91.615845, 30.579813]}}, "date"=>Fri, 20 Ma...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002999s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000d8'), "next_bib"=>20, "n"=>"Leigh Sprint", "loc"=>{"city"=>"Leigh", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.232001, 41.673877]}}, "date"=>Sat, 24 Oct 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.012761s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000de'), "next_bib"=>20, "n"=>"Leigh Sprint", "loc"=>{"city"=>"Leigh", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.232001, 41.673877]}}, "date"=>Fri, 08 Oct 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001592s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000e4'), "next_bib"=>20, "n"=>"Leigh Sprint", "loc"=>{"city"=>"Leigh", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.232001, 41.673877]}}, "date"=>Sun, 09 Oct 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002792s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000ea'), "next_bib"=>20, "n"=>"Pierce Sprint", "loc"=>{"city"=>"Pierce", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.525604, 42.194323]}}, "date"=>Wed, 04 Mar...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000f0'), "next_bib"=>20, "n"=>"Pierce Sprint", "loc"=>{"city"=>"Pierce", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.525604, 42.194323]}}, "date"=>Thu, 11 Mar...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000f6'), "next_bib"=>20, "n"=>"Pierce Sprint", "loc"=>{"city"=>"Pierce", "state"=>"NE", "loc"=>{"type"=>"Point", "coordinates"=>[-97.525604, 42.194323]}}, "date"=>Sun, 27 Mar...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c30000fc'), "next_bib"=>20, "n"=>"Hillsdale Iron", "loc"=>{"city"=>"Hillsdale", "state"=>"NJ", "loc"=>{"type"=>"Point", "coordinates"=>[-74.042625, 41.006945]}}, "date"=>Mon, 13...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000102'), "next_bib"=>20, "n"=>"Hillsdale Iron", "loc"=>{"city"=>"Hillsdale", "state"=>"NJ", "loc"=>{"type"=>"Point", "coordinates"=>[-74.042625, 41.006945]}}, "date"=>Fri, 09...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000108'), "next_bib"=>20, "n"=>"Hillsdale Iron", "loc"=>{"city"=>"Hillsdale", "state"=>"NJ", "loc"=>{"type"=>"Point", "coordinates"=>[-74.042625, 41.006945]}}, "date"=>Fri, 08...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300010e'), "next_bib"=>20, "n"=>"Warm Springs Sprint", "loc"=>{"city"=>"Warm Springs", "state"=>"AR", "loc"=>{"type"=>"Point", "coordinates"=>[-91.038707, 36.467531]}}, "date"=...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.001002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000114'), "next_bib"=>20, "n"=>"Warm Springs Sprint", "loc"=>{"city"=>"Warm Springs", "state"=>"AR", "loc"=>{"type"=>"Point", "coordinates"=>[-91.038707, 36.467531]}}, "date"=...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300011a'), "next_bib"=>20, "n"=>"Warm Springs Sprint", "loc"=>{"city"=>"Warm Springs", "state"=>"AR", "loc"=>{"type"=>"Point", "coordinates"=>[-91.038707, 36.467531]}}, "date"=...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000120'), "next_bib"=>20, "n"=>"Sherrard Sprint", "loc"=>{"city"=>"Sherrard", "state"=>"IL", "loc"=>{"type"=>"Point", "coordinates"=>[-90.493863, 41.302669]}}, "date"=>Tue, 17...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000126'), "next_bib"=>20, "n"=>"Sherrard Sprint", "loc"=>{"city"=>"Sherrard", "state"=>"IL", "loc"=>{"type"=>"Point", "coordinates"=>[-90.493863, 41.302669]}}, "date"=>Fri, 19...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300012c'), "next_bib"=>20, "n"=>"Sherrard Sprint", "loc"=>{"city"=>"Sherrard", "state"=>"IL", "loc"=>{"type"=>"Point", "coordinates"=>[-90.493863, 41.302669]}}, "date"=>Wed, 16...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000132'), "next_bib"=>20, "n"=>"Steele Iron", "loc"=>{"city"=>"Steele", "state"=>"ND", "loc"=>{"type"=>"Point", "coordinates"=>[-99.933559, 46.852357]}}, "date"=>Sun, 22 Nov 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000138'), "next_bib"=>20, "n"=>"Steele Iron", "loc"=>{"city"=>"Steele", "state"=>"ND", "loc"=>{"type"=>"Point", "coordinates"=>[-99.933559, 46.852357]}}, "date"=>Wed, 24 Nov 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003001s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300013e'), "next_bib"=>20, "n"=>"Steele Iron", "loc"=>{"city"=>"Steele", "state"=>"ND", "loc"=>{"type"=>"Point", "coordinates"=>[-99.933559, 46.852357]}}, "date"=>Thu, 17 Nov 2...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002006s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000144'), "next_bib"=>20, "n"=>"Pentagon Sprint", "loc"=>{"city"=>"Pentagon", "state"=>"DC", "loc"=>{"type"=>"Point", "coordinates"=>[-77.038196, 38.891019]}}, "date"=>Thu, 22...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300014a'), "next_bib"=>20, "n"=>"Pentagon Sprint", "loc"=>{"city"=>"Pentagon", "state"=>"DC", "loc"=>{"type"=>"Point", "coordinates"=>[-77.038196, 38.891019]}}, "date"=>Sun, 03...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003003s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000150'), "next_bib"=>20, "n"=>"Pentagon Sprint", "loc"=>{"city"=>"Pentagon", "state"=>"DC", "loc"=>{"type"=>"Point", "coordinates"=>[-77.038196, 38.891019]}}, "date"=>Sun, 23...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003005s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000156'), "next_bib"=>20, "n"=>"Charlestown Olympic", "loc"=>{"city"=>"Charlestown", "state"=>"IN", "loc"=>{"type"=>"Point", "coordinates"=>[-85.660614, 38.456778]}}, "date"=>...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.002002s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300015c'), "next_bib"=>20, "n"=>"Charlestown Olympic", "loc"=>{"city"=>"Charlestown", "state"=>"IN", "loc"=>{"type"=>"Point", "coordinates"=>[-85.660614, 38.456778]}}, "date"=>...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.003002s
